id,name,sport,created_at,gender,alias
5367e659-aa07-40c6-913d-3099a9792a95,Hungria F,waterpolo,2026-01-23T16:16:22.306121+00:00,,[]
0f73e236-a4ee-45dc-a208-1aedbf7ae3e1,ISRAEL,waterpolo,2026-01-16T16:33:37.461032+00:00,,[]
563753d8-9c01-4212-ad9f-0c63de8834b9,ITALIA,waterpolo,2026-01-15T22:50:36.061708+00:00,,[]
c865b439-0dc7-4155-bf2b-9a66f305cb64,Italia F,waterpolo,2026-01-29T23:45:16.015399+00:00,,[]
6c6dba88-d826-4b2e-b185-0ef566f91769,Jadran NH,waterpolo,2026-02-06T09:31:21.635684+00:00,,[]
a9efcbfe-27cf-437f-9ad5-08fe6fa134a5,Jadran ST,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
12d621bc-77b1-4ee6-bca0-c5570cb7b831,KVK Radnički Kragujevac M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
1bda6592-23d4-4734-8673-61fb7799b36f,Larraina,waterpolo,2025-11-28T21:12:26.228462+00:00,,[]
a63475e3-d06f-4a43-973e-6df1ec1d08af,Leioa,waterpolo,2026-02-27T11:27:39.69936+00:00,,[]
cbe0e5f8-5885-459f-a6b8-e9a534d5a861,Leioa ,waterpolo,2025-12-12T14:04:29.844514+00:00,,[]
0b07b980-d43b-45ce-96fc-3fbbbe2fc2a5,Leioa  F,waterpolo,2026-01-09T21:39:24.084251+00:00,,[]
2df32e52-671f-45a6-a0b3-adafb3095ca5,Leioa Waterpolo F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,"[""Leioa F""]"
406f3488-7d0a-44c7-b67b-d04a16717be3,Marsella,waterpolo,2025-11-30T11:20:48.302041+00:00,,[]
5592bfe0-36f5-4e65-aac3-303f3e384864,mata,waterpolo,2025-12-12T14:04:29.844514+00:00,,[]
c90f9e3c-eed3-495c-a774-d83deae0659b,Mladost,waterpolo,2025-11-30T11:44:35.490667+00:00,,[]
76c4365a-86cc-4485-8f42-011f09a6b78f,MONTENEGRO,waterpolo,2026-01-09T18:53:07.315267+00:00,,[]
b7f5844a-24b0-4c91-a95d-920c13334a86,Nancy F,waterpolo,2025-11-26T18:16:51.704473+00:00,f,[]
b070882b-05bb-4241-9e83-57338d5ae9f3,Nautica Portugalete,waterpolo,2025-10-08T15:19:44.588153+00:00,m,[]
f6d98018-05dc-43e4-ba12-5575087ae7ea,Nautica Portugalete B,waterpolo,2026-02-27T11:27:39.69936+00:00,,[]
f1a4975c-5e93-4c86-9f26-6267b976f9cc,Navarra B,waterpolo,2025-12-19T11:22:47.582133+00:00,,[]
a8f1c050-5b07-438d-9c8f-9d3404ea325a,Olimpic Roma,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
2da2d57e-e4a9-463f-a8f6-b97073e1acfa,Olympiacos F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
acbaa430-c083-4dd2-a52b-461fcd80f85c,Olympiacos M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
75c57d10-05c0-4e30-ace9-42393925383f,Oradea,waterpolo,2025-11-30T11:20:48.302041+00:00,,[]
58dd9e37-3d60-4542-8342-fc4e0db53636,Orizzonte Catania F,waterpolo,2025-10-23T07:17:22.132493+00:00,f,[]
8d617256-4a14-4700-9929-29960b237367,Ortigia,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
e768a19a-53b3-4d87-b0ce-c313eb1c2331,Paises Bajos,waterpolo,2026-01-09T16:08:24.05919+00:00,,[]
f6f3e98b-bb76-4124-a24e-f1d8a8e71a5a,PAISES BAJOS,waterpolo,2026-01-09T18:53:07.315267+00:00,,[]
a58bc9b2-c19c-4ba3-9c52-3e1b9432bbaa,Paises Bajos F,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
4f060066-4d7d-4ec7-93ea-2326cf59ac76,Panathinaikos Waterpolo C. M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
3eb1b9f8-10f6-45b3-8391-0afbc35adb1c,Panionios Waterpolo C. F,waterpolo,2025-10-17T10:51:17.880299+00:00,f,[]
36f0cb41-2e68-453b-8cd6-bfc26a75f9b1,Panionios Waterpolo C. M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
85162f36-01c9-4dba-933d-8a36f1056de5,Partizan,waterpolo,2026-02-06T21:38:52.25184+00:00,,[]
653b75c2-e8c5-40f5-9656-71776e9ef918,Portugal F,waterpolo,2026-01-23T16:16:22.306121+00:00,,[]
20d298c6-91cd-4a6e-b7d5-8bc0d1001827,Posilipo,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
b120b82b-8de6-4493-aec3-b0dd2d03a1f7,Pozuelo,waterpolo,2026-02-27T11:27:39.69936+00:00,,[]
913fc350-3211-4b71-9b92-08159c2bff22,Primorac,waterpolo,2025-11-30T11:20:48.302041+00:00,,[]
616b9fcc-b7c2-4c5a-892d-ff018c914d5e,Primorac Kotor,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
f338c9e2-3894-426e-9295-02d89f61296c,Pro Recco Waterpolo,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
33d42580-b938-4d20-85e6-157194607e47,Radnicki,waterpolo,2025-11-30T11:44:35.490667+00:00,,[]
509a1626-f920-4f8e-8026-da28b647a0dd,Rapallo F,waterpolo,2025-11-05T16:34:58.9609+00:00,f,[]
90c08a3f-2f87-474d-bc21-24573a25bf68,Rari Nantes Savona M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
1bfef3b2-7039-49b2-957f-bbe6d98585c8,Real Canoe N.C. 2 M,waterpolo,2025-10-17T10:51:17.880299+00:00,m,"[""Real Canoe 2""]"
23547148-5526-4570-bf9e-08eb34fe9e81,Real Canoe N.C. F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,"[""Real Canoe F""]"
c289d48e-f1ff-4b1a-b2a5-a86016ec3beb,Real Canoe N.C. M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,"[""Real Canoe M""]"
4dffad9d-2ba3-4c22-8eee-11846938e597,Roma F,waterpolo,2025-11-28T14:20:29.633851+00:00,f,[]
59f3372f-9481-48b4-b227-87ba82c16631,Roma Vis Nova,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
aa78c2a7-461b-4e9d-aaf7-77d27b2e5f6c,RUMANIA,waterpolo,2026-01-09T18:53:07.315267+00:00,,[]
56eea90e-79a2-4270-9e2f-929fe6341442,Rumania F,waterpolo,2026-01-23T16:16:22.306121+00:00,,[]
14576518-5e01-4ce6-b99d-d5c6bdf3d56d,Sabac,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
197db173-2f82-40a5-8691-c79761bdbacb,SAN Giljan ASC,waterpolo,2025-11-13T16:37:29.126894+00:00,m,[]
a44f8db8-7638-412d-b7b0-014bf4753f7d,SC Quinto M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
dc8943a2-8de2-473c-a4de-a2aa7af212e3,Serbia,waterpolo,2026-01-09T16:08:24.05919+00:00,,[]
db17b326-9e09-4523-9c2b-7b8a73daf61c,SERBIA,waterpolo,2026-01-09T18:53:07.315267+00:00,,[]
c56bbb3a-2983-4b50-b694-339557b0c7c5,SERBIA ,waterpolo,2026-01-16T16:33:37.461032+00:00,,[]
49cded94-ca92-49cd-b44e-1233bdc493c4,Telimar Pallanuoto M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
c421dfdb-bddb-47c3-89ef-f995774bd9e6,Terrassa ,waterpolo,2025-12-12T14:04:29.844514+00:00,,[]
7d91a792-0e6e-40b5-9bf9-60fe6b48ddfe,Trieste,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
5d6fc33c-aa52-46f9-87e7-ecfe72220315,Trieste F,waterpolo,2025-09-24T16:49:28.78578+00:00,f,[]
612ceb28-73b5-4fcd-937c-f3207599dc0e,U.E Horta F,waterpolo,2025-10-15T22:01:16.24295+00:00,f,"[""Horta F""]"
f00557fc-0416-428c-b9a5-9d824a234627,U.E Horta M,waterpolo,2025-09-15T16:49:20.107161+00:00,m,"[""Horta M""]"
9e10ff9e-90b2-471e-a14e-13c4b5660b5b,Unión Waterpolo Tenerife M,waterpolo,2025-10-07T16:07:30.297642+00:00,m,"[""Tenerife M"",""U.W. Tenerife M""]"
d854eb89-7d09-4fc1-9a8a-e422c935a5e2,UPNA,waterpolo,2026-01-30T20:18:53.435236+00:00,,[]
f1f8b11e-4d3d-4193-a656-deaf679c147d,UPNA F,waterpolo,2025-11-06T21:37:47.777924+00:00,f,[]
4b91294e-78f8-4a4d-9877-5eaf0825a938,URBAT IKE,waterpolo,2025-10-08T08:53:58.352942+00:00,m,"[""Urbat M""]"
5504c3b3-b716-427e-ab50-5a764662256a,UVSE F,waterpolo,2025-12-11T09:25:48.499062+00:00,,[]
6d30772d-7993-4b60-8e7f-b34d201a15df,Vasas,waterpolo,2025-11-30T11:20:48.302041+00:00,,[]
7d28f036-30b0-46f2-a31b-cff374eeb992,Vk Novi Beograd,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
73878dcc-2781-4d5e-8f4c-44917cfdc135,Vouliagmeni F,waterpolo,2025-10-23T16:01:12.596671+00:00,f,[]
71e3d26a-65a4-4509-adaf-870c4ae77207,W.P.C. Dinamo Tblisi M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
c730f68d-258a-4958-ba8b-ef68781e6dc0,Waterpolo Brains F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,"[""Colegio Brains F""]"
1328b343-c49c-4071-8cad-062a898571db,Waterpolo Brains M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,"[""Colegio Brains M""]"
7a92d3e1-3c46-4e4f-92c3-0e95581d75c0,Waterpolo Ciudad de Rivas F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,"[""Rivas F""]"
a2672287-a360-472a-a976-1b5f92d241fd,Waterpolo Iruña 9802 F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,"[""Iruña F""]"
62592716-b402-4362-a92c-fed2aaee85f2,ZV de ZAAN F,waterpolo,2025-11-05T16:22:42.567272+00:00,f,[]
